1,*	1,2
1,low	43,44
1,med	39,40,41,42
1,vhigh	10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,4,5,6,7,8,9
2,*	3,4
2,high	16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,40,41
2,low	42,43,44
2,vhigh	1,10,11,12,13,14,15,2,39,5,6,7,8,9
3,2	1,10,11,12,13,14,15,16,17,18,19,2,20,3,4,40,41,43,7,8,9
3,3	21,22,23,24,25,26,27,28,29,30,31,32,33,34
3,4	35,36,37,38,42
3,*	5
3,5more	39,44
3,*	6
4,2	1,16,17,18,19,2,3,35,36,37,38,4,40,41,43,5,6,9
4,4	10,11,12,13,14,15,20,21,22,23,24,25
4,*	7,8
4,more	26,27,28,29,30,31,32,33,34,39,42,44
5,*	10,9
5,big	17,18,19,23,24,25,32,33,34,39,44,7,8
5,med	13,14,15,16,21,22,29,30,31,38,4,5,6
5,small	1,11,12,2,20,26,27,28,3,35,36,37,40,41,42,43
6,*	11,12
6,high	15,16,19,22,25,28,3,31,34,37,39,44,6,9
6,low	1,10,13,17,20,23,26,29,32,35,38,4,40,42,7
6,med	14,18,2,21,24,27,30,33,36,41,43,5,8
7,*	13,14
7,acc	39
7,unacc	1,10,11,12,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,4,40,41,42,43,5,6,7,8,9
7,vgood	44
